order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date
9f0b93157ce9331253cad4298ce6af61,31d5d04d4657892a68bc9f5deff51709,delivered,2018-05-27 15:26:00,2018/5/29 3:31,2018/6/5 15:05,2018/6/8 15:43,2018/7/5 0:00
211635839640ec89714ed4410c5d9eea,39ea5fecfa8dd33f8dc7abb45fb29d82,delivered,2018-05-27 16:00:00,2018/5/27 16:15,2018/6/4 13:45,2018/6/5 18:28,2018/6/20 0:00
a44e2259c6908814d76871d497766ae9,e93078b6816a4bf9e651abd16a29f9d0,delivered,2018-05-27 13:47:00,2018/5/28 13:54,2018/6/1 13:25,2018/6/13 19:41,2018/7/3 0:00
660a6fbde01967fda369dc69c3d4b50a,5f15513fd19ab7f204e5f6b75375212b,delivered,2018-05-27 13:49:00,2018/5/29 3:31,2018/5/29 13:43,2018/6/8 13:36,2018/7/12 0:00
95087a791500e383c039460bbd6bcb57,5b98547ccd0950675ef6b0a4f5a928ec,delivered,2018-05-27 20:41:00,2018/5/27 20:54,2018/6/1 13:25,2018/6/6 23:06,2018/6/28 0:00
9d107f7c71a717cfcccc479c9e300302,ab23bc8d29aaf7a3978d8e819817575b,delivered,2018-05-27 18:27:00,2018/5/27 18:54,2018/5/28 9:29,2018/6/6 14:38,2018/6/28 0:00
60836a0b2a1b5051e61371cf04a16574,6b49f46fe51b14c54872f603facd73a3,delivered,2018-05-27 21:34:00,2018/5/27 21:51,2018/5/29 9:51,2018/6/5 14:58,2018/6/28 0:00
d14ebe879e1587746439c3652f063eb4,9155e5f5cd64439dedad8c8fe39261e8,delivered,2018-05-27 13:07:00,2018/5/27 13:36,2018/5/28 14:40,2018/6/7 11:46,2018/7/13 0:00
b0247f256d2486d4cb5f3bf93dd84eb4,30c6c7a5f5570eea755284d1775568b8,delivered,2018-05-27 16:42:00,2018/5/29 3:14,2018/6/8 10:24,2018/6/20 13:28,2018/7/26 0:00
f526502583165bcf37f59cb5092ba1e7,c3fa66cf6941f5323971a4c3db4029ff,delivered,2018-05-27 15:04:00,2018/5/27 15:15,2018/5/29 8:07,2018/6/7 13:50,2018/6/29 0:00
9ba0165adc8f80295e82cb5418788889,ca0cbc348ce930d599f8dabcb7436bff,delivered,2018-05-27 09:34:00,2018/5/27 9:50,2018/5/28 16:16,2018/5/30 16:18,2018/6/21 0:00
24d505034382a8c43dd5524e1b4eb3fe,2572738e77279aaac9c5c15620166859,delivered,2018-05-27 11:07:00,2018/5/27 11:36,2018/5/30 14:41,2018/6/8 17:44,2018/7/4 0:00
bb4648eb654b7296660ddcbc2ac64c0f,3436830523f11956f158565d582de289,delivered,2018-05-27 15:56:00,2018/5/28 15:56,2018/6/6 8:20,2018/6/20 18:18,2018/7/5 0:00
2adb2f19ddcdf638f5c1284f84e4fe18,bb3b8ba65c06bcbe68a062e28fa27adf,delivered,2018-05-27 19:13:00,2018/5/27 19:35,2018/6/4 15:38,2018/6/5 20:05,2018/6/20 0:00
91a96b5defab51616ef57e6b57d47969,c5e12d2d7ee8c109332c67b445d5b32e,delivered,2018-05-27 14:59:00,2018/5/27 15:15,2018/5/28 14:15,2018/6/11 21:32,2018/7/3 0:00
ba01067136771e2103d611dc1d74d709,64c26ea8310a299e2d0785aa77ee1ca0,delivered,2018-05-27 17:42:00,2018/5/27 17:55,2018/5/29 14:04,2018/6/4 17:06,2018/6/29 0:00
a38fda8c7745d9c406a48daf230f957a,d815502657bd93cb52c48c3df5fdc0bb,delivered,2018-05-27 19:47:00,2018/5/27 20:14,2018/5/28 12:44,2018/6/8 15:02,2018/7/3 0:00
019543c0de8386be97738b589ee695aa,ee78e2394f33a3bf7e81e1ba6192863e,delivered,2018-05-27 17:10:00,2018/5/27 17:34,2018/5/28 14:30,2018/5/29 19:27,2018/6/20 0:00
